#GBE_ID PRS_model phe_type features R_or_AUC phe_name
Non_albumin_protein	snpnet	qt	Genotype_and_covariates	3.578869e-01
Non_albumin_protein	snpnet	qt	Genotype_only	3.300502e-01
Phosphate	snpnet	qt	Covariates_only	4.060330e-01
Phosphate	snpnet	qt	Genotype_and_covariates	4.674413e-01
Phosphate	snpnet	qt	Genotype_only	2.266862e-01
SHBG	snpnet	qt	Covariates_only	4.292604e-01
SHBG	snpnet	qt	Genotype_and_covariates	5.322758e-01
SHBG	snpnet	qt	Genotype_only	3.132661e-01
Sodium_in_urine	snpnet	qt	Covariates_only	3.125116e-01
Sodium_in_urine	snpnet	qt	Genotype_and_covariates	3.198744e-01
Sodium_in_urine	snpnet	qt	Genotype_only	6.942470e-02
Testosterone	snpnet	qt	Covariates_only	9.011753e-01
Testosterone	snpnet	qt	Genotype_and_covariates	9.066306e-01
Testosterone	snpnet	qt	Genotype_only	9.791925e-02
Testosterone_adjstatins	snpnet	qt	Covariates_only	8.996739e-01
Testosterone_adjstatins	snpnet	qt	Genotype_and_covariates	9.051403e-01
Testosterone_adjstatins	snpnet	qt	Genotype_only	9.745023e-02
Total_protein_adjstatins	snpnet	qt	Covariates_only	1.771047e-01
Total_protein_adjstatins	snpnet	qt	Genotype_and_covariates	3.296669e-01
Total_protein_adjstatins	snpnet	qt	Genotype_only	2.794221e-01
Triglycerides	snpnet	qt	Covariates_only	2.851464e-01
Triglycerides	snpnet	qt	Genotype_and_covariates	4.236305e-01
Triglycerides	snpnet	qt	Genotype_only	3.145531e-01
Urate	snpnet	qt	Covariates_only	5.353555e-01
Urate	snpnet	qt	Genotype_and_covariates	6.181737e-01
Urate	snpnet	qt	Genotype_only	3.115849e-01
Urea	snpnet	qt	Covariates_only	3.056708e-01
Urea	snpnet	qt	Genotype_and_covariates	3.553658e-01
Urea	snpnet	qt	Genotype_only	1.830500e-01
Urea_adjstatins	snpnet	qt	Covariates_only	2.917044e-01
Urea_adjstatins	snpnet	qt	Genotype_and_covariates	3.446110e-01
Urea_adjstatins	snpnet	qt	Genotype_only	1.854833e-01
Vitamin_D	snpnet	qt	Covariates_only	4.130896e-01
Vitamin_D	snpnet	qt	Genotype_and_covariates	4.666267e-01
Vitamin_D	snpnet	qt	Genotype_only	2.150879e-01
Vitamin_D_adjstatins	snpnet	qt	Covariates_only	4.088156e-01
Vitamin_D_adjstatins	snpnet	qt	Genotype_and_covariates	4.641627e-01
Vitamin_D_adjstatins	snpnet	qt	Genotype_only	2.180159e-01
