#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name	N
cancer1007	vanilla_PRS_1e-3	bin	PRS	6.081806e-01	nasal_cavity_cancer	62
cancer1007	vanilla_PRS_1e-3	bin	PRS_and_covars	8.079849e-01	nasal_cavity_cancer	62
cancer1007	vanilla_PRS_1e-4	bin	covars	8.077699e-01	nasal_cavity_cancer	62
cancer1007	vanilla_PRS_1e-4	bin	PRS	5.117226e-01	nasal_cavity_cancer	62
cancer1007	vanilla_PRS_1e-4	bin	PRS_and_covars	8.079392e-01	nasal_cavity_cancer	62
cancer1007	vanilla_PRS_1e-5	bin	covars	8.077699e-01	nasal_cavity_cancer	62
cancer1007	vanilla_PRS_1e-5	bin	PRS	5.455486e-01	nasal_cavity_cancer	62
cancer1007	vanilla_PRS_1e-5	bin	PRS_and_covars	8.095150e-01	nasal_cavity_cancer	62
cancer1008	vanilla_PRS_1e-3	bin	covars	8.034037e-01	ear_cancer	16
cancer1008	vanilla_PRS_1e-3	bin	PRS	5.583047e-01	ear_cancer	16
cancer1008	vanilla_PRS_1e-3	bin	PRS_and_covars	8.040957e-01	ear_cancer	16
cancer1008	vanilla_PRS_1e-4	bin	covars	8.034037e-01	ear_cancer	16
cancer1008	vanilla_PRS_1e-4	bin	PRS	5.696957e-01	ear_cancer	16
cancer1008	vanilla_PRS_1e-4	bin	PRS_and_covars	8.045060e-01	ear_cancer	16
cancer1008	vanilla_PRS_1e-5	bin	covars	8.034037e-01	ear_cancer	16
cancer1008	vanilla_PRS_1e-5	bin	PRS	5.606303e-01	ear_cancer	16
cancer1008	vanilla_PRS_1e-5	bin	PRS_and_covars	8.052771e-01	ear_cancer	16
cancer1009	vanilla_PRS_1e-3	bin	covars	6.582881e-01	sinus_cancer	26
cancer1009	vanilla_PRS_1e-3	bin	PRS	5.193849e-01	sinus_cancer	26
cancer1009	vanilla_PRS_1e-3	bin	PRS_and_covars	6.582851e-01	sinus_cancer	26
cancer1009	vanilla_PRS_1e-4	bin	covars	6.582881e-01	sinus_cancer	26
cancer1009	vanilla_PRS_1e-4	bin	PRS	5.202657e-01	sinus_cancer	26
cancer1009	vanilla_PRS_1e-4	bin	PRS_and_covars	6.584512e-01	sinus_cancer	26
cancer1009	vanilla_PRS_1e-5	bin	covars	6.582881e-01	sinus_cancer	26
cancer1009	vanilla_PRS_1e-5	bin	PRS	5.570380e-01	sinus_cancer	26
cancer1009	vanilla_PRS_1e-5	bin	PRS_and_covars	6.591482e-01	sinus_cancer	26
cancer1010	vanilla_PRS_1e-3	bin	covars	7.308200e-01	lip_cancer	59
cancer1010	vanilla_PRS_1e-3	bin	PRS	5.098699e-01	lip_cancer	59
cancer1010	vanilla_PRS_1e-3	bin	PRS_and_covars	7.316856e-01	lip_cancer	59
cancer1010	vanilla_PRS_1e-4	bin	covars	7.308200e-01	lip_cancer	59
cancer1010	vanilla_PRS_1e-4	bin	PRS	5.687747e-01	lip_cancer	59
cancer1010	vanilla_PRS_1e-4	bin	PRS_and_covars	7.297495e-01	lip_cancer	59
cancer1010	vanilla_PRS_1e-5	bin	covars	7.308200e-01	lip_cancer	59
cancer1010	vanilla_PRS_1e-5	bin	PRS	5.668797e-01	lip_cancer	59
cancer1010	vanilla_PRS_1e-5	bin	PRS_and_covars	7.313094e-01	lip_cancer	59
cancer1011	vanilla_PRS_1e-3	bin	covars	6.921102e-01	tongue_cancer	317
cancer1011	vanilla_PRS_1e-3	bin	PRS	5.253584e-01	tongue_cancer	317
cancer1011	vanilla_PRS_1e-3	bin	PRS_and_covars	6.920791e-01	tongue_cancer	317
cancer1011	vanilla_PRS_1e-4	bin	covars	6.921102e-01	tongue_cancer	317
cancer1011	vanilla_PRS_1e-4	bin	PRS	5.047976e-01	tongue_cancer	317
cancer1011	vanilla_PRS_1e-4	bin	PRS_and_covars	6.921293e-01	tongue_cancer	317
cancer1011	vanilla_PRS_1e-5	bin	covars	6.921102e-01	tongue_cancer	317
cancer1011	vanilla_PRS_1e-5	bin	PRS	5.441911e-01	tongue_cancer	317
cancer1011	vanilla_PRS_1e-5	bin	PRS_and_covars	6.923060e-01	tongue_cancer	317
cancer1012	vanilla_PRS_1e-3	bin	covars	7.105805e-01	gum_cancer	47
cancer1012	vanilla_PRS_1e-3	bin	PRS	5.715738e-01	gum_cancer	47
cancer1012	vanilla_PRS_1e-3	bin	PRS_and_covars	7.121014e-01	gum_cancer	47
cancer1012	vanilla_PRS_1e-4	bin	covars	7.105805e-01	gum_cancer	47
cancer1012	vanilla_PRS_1e-4	bin	PRS	6.257988e-01	gum_cancer	47
cancer1012	vanilla_PRS_1e-4	bin	PRS_and_covars	7.119432e-01	gum_cancer	47
cancer1012	vanilla_PRS_1e-5	bin	covars	7.105805e-01	gum_cancer	47
cancer1012	vanilla_PRS_1e-5	bin	PRS	5.795978e-01	gum_cancer	47
cancer1012	vanilla_PRS_1e-5	bin	PRS_and_covars	7.112265e-01	gum_cancer	47
cancer1015	vanilla_PRS_1e-3	bin	covars	6.989486e-01	parotid_gland_cancer	127
cancer1015	vanilla_PRS_1e-3	bin	PRS	5.035631e-01	parotid_gland_cancer	127
cancer1015	vanilla_PRS_1e-3	bin	PRS_and_covars	6.989326e-01	parotid_gland_cancer	127
cancer1015	vanilla_PRS_1e-4	bin	covars	6.989486e-01	parotid_gland_cancer	127
cancer1015	vanilla_PRS_1e-4	bin	PRS	5.653458e-01	parotid_gland_cancer	127
cancer1015	vanilla_PRS_1e-4	bin	PRS_and_covars	6.991806e-01	parotid_gland_cancer	127
cancer1015	vanilla_PRS_1e-5	bin	covars	6.989486e-01	parotid_gland_cancer	127
cancer1015	vanilla_PRS_1e-5	bin	PRS	5.042950e-01	parotid_gland_cancer	127
cancer1015	vanilla_PRS_1e-5	bin	PRS_and_covars	6.990245e-01	parotid_gland_cancer	127
cancer1017	vanilla_PRS_1e-3	bin	covars	7.418952e-01	oesophageal_cancer	667
cancer1017	vanilla_PRS_1e-3	bin	PRS	5.360164e-01	oesophageal_cancer	667
cancer1017	vanilla_PRS_1e-3	bin	PRS_and_covars	7.419307e-01	oesophageal_cancer	667
cancer1017	vanilla_PRS_1e-4	bin	covars	7.418952e-01	oesophageal_cancer	667
cancer1017	vanilla_PRS_1e-4	bin	PRS	5.248456e-01	oesophageal_cancer	667
cancer1017	vanilla_PRS_1e-4	bin	PRS_and_covars	7.419952e-01	oesophageal_cancer	667
cancer1017	vanilla_PRS_1e-5	bin	covars	7.418952e-01	oesophageal_cancer	667
cancer1017	vanilla_PRS_1e-5	bin	PRS	5.300265e-01	oesophageal_cancer	667
cancer1017	vanilla_PRS_1e-5	bin	PRS_and_covars	7.418988e-01	oesophageal_cancer	667
cancer1018	vanilla_PRS_1e-3	bin	covars	7.152054e-01	stomach_cancer	568
cancer1018	vanilla_PRS_1e-3	bin	PRS	5.215342e-01	stomach_cancer	568
cancer1018	vanilla_PRS_1e-3	bin	PRS_and_covars	7.149814e-01	stomach_cancer	568
cancer1018	vanilla_PRS_1e-4	bin	covars	7.152054e-01	stomach_cancer	568
cancer1018	vanilla_PRS_1e-4	bin	PRS	5.308245e-01	stomach_cancer	568
cancer1018	vanilla_PRS_1e-4	bin	PRS_and_covars	7.152864e-01	stomach_cancer	568
cancer1018	vanilla_PRS_1e-5	bin	covars	7.152054e-01	stomach_cancer	568
cancer1018	vanilla_PRS_1e-5	bin	PRS	5.198059e-01	stomach_cancer	568
cancer1018	vanilla_PRS_1e-5	bin	PRS_and_covars	7.149935e-01	stomach_cancer	568
cancer1019	vanilla_PRS_1e-3	bin	covars	6.833628e-01	small_intestine/small_bowel_cancer	329
cancer1019	vanilla_PRS_1e-3	bin	PRS	5.259546e-01	small_intestine/small_bowel_cancer	329
cancer1019	vanilla_PRS_1e-3	bin	PRS_and_covars	6.838903e-01	small_intestine/small_bowel_cancer	329
cancer1019	vanilla_PRS_1e-4	bin	covars	6.833628e-01	small_intestine/small_bowel_cancer	329
cancer1019	vanilla_PRS_1e-4	bin	PRS	5.684610e-01	small_intestine/small_bowel_cancer	329
cancer1019	vanilla_PRS_1e-4	bin	PRS_and_covars	6.833303e-01	small_intestine/small_bowel_cancer	329
cancer1019	vanilla_PRS_1e-5	bin	covars	6.833628e-01	small_intestine/small_bowel_cancer	329
cancer1019	vanilla_PRS_1e-5	bin	PRS	5.057891e-01	small_intestine/small_bowel_cancer	329
cancer1019	vanilla_PRS_1e-5	bin	PRS_and_covars	6.836108e-01	small_intestine/small_bowel_cancer	329
cancer1020	vanilla_PRS_1e-3	bin	covars	6.815953e-01	large_bowel_cancer/colorectal_cancer	4382
