#Population	GBE_ID	PRS_model	phe_type	features	R_or_AUC
e_asian	Direct_bilirubin_adjstatins	snpnet	qt	Genotype_and_covariates	2.936369e-01
e_asian	Direct_bilirubin_adjstatins	snpnet	qt	Genotype_only	2.122838e-01
e_asian	Fasting_glucose	snpnet	qt	Covariates_only	2.090024e-02
e_asian	Fasting_glucose	snpnet	qt	Genotype_and_covariates	1.991008e-02
e_asian	Fasting_glucose	snpnet	qt	Genotype_only	1.087096e-02
e_asian	Gamma_glutamyltransferase_adjstatins	snpnet	qt	Covariates_only	1.898866e-01
e_asian	Gamma_glutamyltransferase_adjstatins	snpnet	qt	Genotype_and_covariates	2.463258e-01
e_asian	Gamma_glutamyltransferase_adjstatins	snpnet	qt	Genotype_only	1.643937e-01
e_asian	Glucose	snpnet	qt	Covariates_only	3.413154e-01
e_asian	Glucose	snpnet	qt	Genotype_and_covariates	3.365818e-01
e_asian	Glucose	snpnet	qt	Genotype_only	3.361938e-03
e_asian	Glycated_haemoglobin_HbA1c	snpnet	qt	Covariates_only	1.705140e-01
e_asian	Glycated_haemoglobin_HbA1c	snpnet	qt	Genotype_and_covariates	1.896798e-01
e_asian	Glycated_haemoglobin_HbA1c	snpnet	qt	Genotype_only	9.139881e-02
e_asian	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Covariates_only	1.602228e-01
e_asian	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Genotype_and_covariates	1.805121e-01
e_asian	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Genotype_only	9.156477e-02
e_asian	HDL_cholesterol	snpnet	qt	Covariates_only	9.424029e-02
e_asian	HDL_cholesterol	snpnet	qt	Genotype_and_covariates	1.083139e-01
e_asian	HDL_cholesterol	snpnet	qt	Genotype_only	5.690273e-02
e_asian	HDL_cholesterol_adjstatins	snpnet	qt	Covariates_only	9.295280e-02
e_asian	HDL_cholesterol_adjstatins	snpnet	qt	Genotype_and_covariates	1.075416e-01
e_asian	HDL_cholesterol_adjstatins	snpnet	qt	Genotype_only	5.722651e-02
e_asian	IGF_1	snpnet	qt	Covariates_only	3.105266e-01
e_asian	IGF_1	snpnet	qt	Genotype_and_covariates	3.782969e-01
e_asian	IGF_1	snpnet	qt	Genotype_only	2.391534e-01
e_asian	IGF_1_adjstatins	snpnet	qt	Covariates_only	3.105734e-01
e_asian	IGF_1_adjstatins	snpnet	qt	Genotype_and_covariates	3.783645e-01
e_asian	IGF_1_adjstatins	snpnet	qt	Genotype_only	2.392045e-01
e_asian	LDL_direct	snpnet	qt	Covariates_only	1.388703e-01
e_asian	LDL_direct	snpnet	qt	Genotype_and_covariates	2.658658e-01
e_asian	LDL_direct	snpnet	qt	Genotype_only	2.316675e-01
e_asian	LDL_direct_adjstatins	snpnet	qt	Covariates_only	1.943506e-01
e_asian	LDL_direct_adjstatins	snpnet	qt	Genotype_and_covariates	3.437826e-01
e_asian	LDL_direct_adjstatins	snpnet	qt	Genotype_only	2.751267e-01
e_asian	Non_albumin_protein	snpnet	qt	Covariates_only	2.350589e-01
e_asian	Non_albumin_protein	snpnet	qt	Genotype_and_covariates	2.040405e-01
e_asian	Non_albumin_protein	snpnet	qt	Genotype_only	1.100083e-01
e_asian	Phosphate	snpnet	qt	Covariates_only	2.374008e-01
e_asian	Phosphate	snpnet	qt	Genotype_and_covariates	2.083787e-01
e_asian	Phosphate	snpnet	qt	Genotype_only	1.127417e-02
e_asian	SHBG	snpnet	qt	Covariates_only	3.660555e-01
e_asian	SHBG	snpnet	qt	Genotype_and_covariates	4.028051e-01
e_asian	SHBG	snpnet	qt	Genotype_only	1.651137e-01
e_asian	Sodium_in_urine	snpnet	qt	Covariates_only	2.505243e-01
e_asian	Sodium_in_urine	snpnet	qt	Genotype_and_covariates	2.524293e-01
e_asian	Sodium_in_urine	snpnet	qt	Genotype_only	2.948298e-02
e_asian	Testosterone	snpnet	qt	Covariates_only	8.529849e-01
e_asian	Testosterone	snpnet	qt	Genotype_and_covariates	8.529984e-01
e_asian	Testosterone	snpnet	qt	Genotype_only	3.380538e-02
e_asian	Testosterone_adjstatins	snpnet	qt	Covariates_only	8.519356e-01
e_asian	Testosterone_adjstatins	snpnet	qt	Genotype_and_covariates	8.520001e-01
e_asian	Testosterone_adjstatins	snpnet	qt	Genotype_only	3.565374e-02
e_asian	Total_protein	snpnet	qt	Covariates_only	3.398602e-01
e_asian	Total_protein	snpnet	qt	Genotype_and_covariates	2.632771e-01
e_asian	Total_protein	snpnet	qt	Genotype_only	5.829375e-02
e_asian	Total_protein_adjstatins	snpnet	qt	Covariates_only	3.306009e-01
e_asian	Total_protein_adjstatins	snpnet	qt	Genotype_and_covariates	2.588690e-01
e_asian	Total_protein_adjstatins	snpnet	qt	Genotype_only	5.666872e-02
e_asian	Triglycerides	snpnet	qt	Covariates_only	2.642602e-01
e_asian	Triglycerides	snpnet	qt	Genotype_and_covariates	3.464750e-01
e_asian	Triglycerides	snpnet	qt	Genotype_only	2.293282e-01
e_asian	Urate	snpnet	qt	Covariates_only	5.220330e-01
e_asian	Urate	snpnet	qt	Genotype_and_covariates	5.669471e-01
e_asian	Urate	snpnet	qt	Genotype_only	2.225758e-01
e_asian	Urea	snpnet	qt	Covariates_only	3.051539e-01
e_asian	Urea	snpnet	qt	Genotype_and_covariates	3.254575e-01
e_asian	Urea	snpnet	qt	Genotype_only	1.241711e-01
e_asian	Urea_adjstatins	snpnet	qt	Covariates_only	2.930899e-01
e_asian	Urea_adjstatins	snpnet	qt	Genotype_and_covariates	3.139888e-01
e_asian	Urea_adjstatins	snpnet	qt	Genotype_only	1.236858e-01
e_asian	Vitamin_D	snpnet	qt	Covariates_only	2.532309e-01
e_asian	Vitamin_D	snpnet	qt	Genotype_and_covariates	2.752548e-01
e_asian	Vitamin_D	snpnet	qt	Genotype_only	1.001615e-01
e_asian	Vitamin_D_adjstatins	snpnet	qt	Covariates_only	2.446343e-01
e_asian	Vitamin_D_adjstatins	snpnet	qt	Genotype_and_covariates	2.701504e-01
e_asian	Vitamin_D_adjstatins	snpnet	qt	Genotype_only	1.049036e-01
s_asian	Alanine_aminotransferase	snpnet	qt	Covariates_only	2.879369e-01
s_asian	Alanine_aminotransferase	snpnet	qt	Genotype_and_covariates	3.268684e-01
s_asian	Alanine_aminotransferase	snpnet	qt	Genotype_only	1.584184e-01
s_asian	Alanine_aminotransferase_adjstatins	snpnet	qt	Covariates_only	2.876829e-01
s_asian	Alanine_aminotransferase_adjstatins	snpnet	qt	Genotype_and_covariates	3.257693e-01
s_asian	Alanine_aminotransferase_adjstatins	snpnet	qt	Genotype_only	1.568878e-01
s_asian	Albumin	snpnet	qt	Covariates_only	2.921665e-01
s_asian	Albumin	snpnet	qt	Genotype_and_covariates	2.462043e-01
s_asian	Albumin	snpnet	qt	Genotype_only	1.678348e-02
s_asian	Albumin_adjstatins	snpnet	qt	Covariates_only	2.844600e-01
s_asian	Albumin_adjstatins	snpnet	qt	Genotype_and_covariates	2.440877e-01
s_asian	Albumin_adjstatins	snpnet	qt	Genotype_only	1.724872e-02
s_asian	Alkaline_phosphatase	snpnet	qt	Covariates_only	1.997442e-01
s_asian	Alkaline_phosphatase	snpnet	qt	Genotype_and_covariates	4.247356e-01
s_asian	Alkaline_phosphatase	snpnet	qt	Genotype_only	3.825472e-01
s_asian	Apolipoprotein_A	snpnet	qt	Covariates_only	3.337000e-02
s_asian	Apolipoprotein_A	snpnet	qt	Genotype_and_covariates	3.828119e-02
s_asian	Apolipoprotein_A	snpnet	qt	Genotype_only	2.018568e-02
s_asian	Apolipoprotein_A_adjstatins	snpnet	qt	Covariates_only	3.662069e-02
s_asian	Apolipoprotein_A_adjstatins	snpnet	qt	Genotype_and_covariates	4.004554e-02
s_asian	Apolipoprotein_A_adjstatins	snpnet	qt	Genotype_only	1.894741e-02
s_asian	Apolipoprotein_B	snpnet	qt	Covariates_only	2.795901e-02
s_asian	Apolipoprotein_B	snpnet	qt	Genotype_and_covariates	6.734898e-02
s_asian	Apolipoprotein_B	snpnet	qt	Genotype_only	6.299162e-02
s_asian	Apolipoprotein_B_adjstatins	snpnet	qt	Covariates_only	3.679629e-02
s_asian	Apolipoprotein_B_adjstatins	snpnet	qt	Genotype_and_covariates	8.887225e-02
s_asian	Apolipoprotein_B_adjstatins	snpnet	qt	Genotype_only	8.224418e-02
s_asian	Aspartate_aminotransferase	snpnet	qt	Covariates_only	1.571353e-01
s_asian	Aspartate_aminotransferase	snpnet	qt	Genotype_and_covariates	1.998308e-01
s_asian	Aspartate_aminotransferase	snpnet	qt	Genotype_only	1.297306e-01
s_asian	Aspartate_aminotransferase_adjstatins	snpnet	qt	Covariates_only	1.458919e-01
s_asian	Aspartate_aminotransferase_adjstatins	snpnet	qt	Genotype_and_covariates	1.875330e-01
s_asian	Aspartate_aminotransferase_adjstatins	snpnet	qt	Genotype_only	1.255822e-01
s_asian	Calcium	snpnet	qt	Covariates_only	4.944236e-01
s_asian	Calcium	snpnet	qt	Genotype_and_covariates	3.813767e-01
s_asian	Calcium	snpnet	qt	Genotype_only	6.778919e-03
s_asian	Calcium_adjstatins	snpnet	qt	Covariates_only	4.851076e-01
s_asian	Calcium_adjstatins	snpnet	qt	Genotype_and_covariates	3.779488e-01
s_asian	Calcium_adjstatins	snpnet	qt	Genotype_only	5.150296e-03
s_asian	Cholesterol	snpnet	qt	Covariates_only	1.746370e-01
s_asian	Cholesterol	snpnet	qt	Genotype_and_covariates	2.534169e-01
s_asian	Cholesterol	snpnet	qt	Genotype_only	1.889310e-01
s_asian	Cholesterol_adjstatins	snpnet	qt	Covariates_only	1.800180e-01
s_asian	Cholesterol_adjstatins	snpnet	qt	Genotype_and_covariates	3.243910e-01
s_asian	Cholesterol_adjstatins	snpnet	qt	Genotype_only	2.757557e-01
s_asian	Creatinine	snpnet	qt	Covariates_only	4.014695e-01
s_asian	Creatinine	snpnet	qt	Genotype_and_covariates	4.156285e-01
s_asian	Creatinine	snpnet	qt	Genotype_only	1.148523e-01
s_asian	Creatinine_adjstatins	snpnet	qt	Covariates_only	3.935810e-01
s_asian	Creatinine_adjstatins	snpnet	qt	Genotype_and_covariates	4.091483e-01
s_asian	Creatinine_adjstatins	snpnet	qt	Genotype_only	1.184843e-01
s_asian	Cystatin_C	snpnet	qt	Covariates_only	2.520779e-01
s_asian	Cystatin_C	snpnet	qt	Genotype_and_covariates	2.772113e-01
s_asian	Cystatin_C	snpnet	qt	Genotype_only	1.215507e-01
s_asian	Cystatin_C_adjstatins	snpnet	qt	Covariates_only	2.397493e-01
s_asian	Cystatin_C_adjstatins	snpnet	qt	Genotype_and_covariates	2.675944e-01
s_asian	Cystatin_C_adjstatins	snpnet	qt	Genotype_only	1.244350e-01
s_asian	C_reactive_protein	snpnet	qt	Covariates_only	9.326321e-02
s_asian	C_reactive_protein	snpnet	qt	Genotype_and_covariates	1.792836e-01
s_asian	C_reactive_protein	snpnet	qt	Genotype_only	1.823699e-01
s_asian	C_reactive_protein_adjstatins	snpnet	qt	Covariates_only	8.943617e-02
s_asian	C_reactive_protein_adjstatins	snpnet	qt	Genotype_and_covariates	1.744361e-01
s_asian	C_reactive_protein_adjstatins	snpnet	qt	Genotype_only	1.805704e-01
s_asian	Direct_bilirubin	snpnet	qt	Covariates_only	2.949712e-01
s_asian	Direct_bilirubin	snpnet	qt	Genotype_and_covariates	4.097129e-01
s_asian	Direct_bilirubin	snpnet	qt	Genotype_only	3.040413e-01
s_asian	Direct_bilirubin_adjstatins	snpnet	qt	Covariates_only	2.770007e-01
s_asian	Direct_bilirubin_adjstatins	snpnet	qt	Genotype_and_covariates	3.970118e-01
s_asian	Direct_bilirubin_adjstatins	snpnet	qt	Genotype_only	3.020611e-01
s_asian	Fasting_glucose	snpnet	qt	Covariates_only	3.403085e-03
s_asian	Fasting_glucose	snpnet	qt	Genotype_and_covariates	2.394610e-03
s_asian	Fasting_glucose	snpnet	qt	Genotype_only	1.111931e-02
s_asian	Gamma_glutamyltransferase_adjstatins	snpnet	qt	Covariates_only	1.764642e-01
s_asian	Gamma_glutamyltransferase_adjstatins	snpnet	qt	Genotype_and_covariates	2.349310e-01
s_asian	Gamma_glutamyltransferase_adjstatins	snpnet	qt	Genotype_only	1.562428e-01
s_asian	Glucose	snpnet	qt	Covariates_only	3.634778e-01
s_asian	Glucose	snpnet	qt	Genotype_and_covariates	3.514115e-01
s_asian	Glucose	snpnet	qt	Genotype_only	4.917453e-02
s_asian	Glycated_haemoglobin_HbA1c	snpnet	qt	Covariates_only	1.740090e-01
s_asian	Glycated_haemoglobin_HbA1c	snpnet	qt	Genotype_and_covariates	2.093790e-01
s_asian	Glycated_haemoglobin_HbA1c	snpnet	qt	Genotype_only	1.279903e-01
s_asian	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Covariates_only	1.633944e-01
s_asian	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Genotype_and_covariates	1.993618e-01
s_asian	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Genotype_only	1.233486e-01
s_asian	HDL_cholesterol	snpnet	qt	Covariates_only	4.178518e-02
s_asian	HDL_cholesterol	snpnet	qt	Genotype_and_covariates	5.950380e-02
s_asian	HDL_cholesterol	snpnet	qt	Genotype_only	4.325324e-02
s_asian	HDL_cholesterol_adjstatins	snpnet	qt	Covariates_only	4.274909e-02
s_asian	HDL_cholesterol_adjstatins	snpnet	qt	Genotype_and_covariates	6.024739e-02
s_asian	HDL_cholesterol_adjstatins	snpnet	qt	Genotype_only	4.336951e-02
s_asian	IGF_1	snpnet	qt	Covariates_only	2.837940e-01
s_asian	IGF_1	snpnet	qt	Genotype_and_covariates	3.872312e-01
s_asian	IGF_1	snpnet	qt	Genotype_only	2.586257e-01
s_asian	IGF_1_adjstatins	snpnet	qt	Covariates_only	2.838684e-01
s_asian	IGF_1_adjstatins	snpnet	qt	Genotype_and_covariates	3.873001e-01
s_asian	IGF_1_adjstatins	snpnet	qt	Genotype_only	2.586298e-01
s_asian	LDL_direct	snpnet	qt	Covariates_only	1.305388e-01
s_asian	LDL_direct	snpnet	qt	Genotype_and_covariates	2.004924e-01
s_asian	LDL_direct	snpnet	qt	Genotype_only	1.536236e-01
s_asian	LDL_direct_adjstatins	snpnet	qt	Covariates_only	1.468118e-01
s_asian	LDL_direct_adjstatins	snpnet	qt	Genotype_and_covariates	2.656764e-01
s_asian	LDL_direct_adjstatins	snpnet	qt	Genotype_only	2.221282e-01
s_asian	Non_albumin_protein	snpnet	qt	Covariates_only	1.992567e-01
s_asian	Non_albumin_protein	snpnet	qt	Genotype_and_covariates	1.786909e-01
s_asian	Non_albumin_protein	snpnet	qt	Genotype_only	8.414821e-02
s_asian	Phosphate	snpnet	qt	Covariates_only	1.955016e-01
s_asian	Phosphate	snpnet	qt	Genotype_and_covariates	1.756825e-01
s_asian	Phosphate	snpnet	qt	Genotype_only	7.785707e-03
s_asian	SHBG	snpnet	qt	Covariates_only	3.149987e-01
s_asian	SHBG	snpnet	qt	Genotype_and_covariates	3.752941e-01
s_asian	SHBG	snpnet	qt	Genotype_only	2.045648e-01
