#Phe	ID	BETA	mean	std
Alanine_aminotransferase_adjstatins	age	1.4808199310701	65.81604298759612	7.997439295962135
Alanine_aminotransferase_adjstatins	sex	33.168307166697396	0.46333979750249593	0.49865421842479385
Alanine_aminotransferase_adjstatins	Array	-0.247247545997434	0.8907956155160969	0.31189547430733106
Alanine_aminotransferase_adjstatins	PC1	-0.0056990290947009	-12.356136067293571	1.6127329591110553
Alanine_aminotransferase_adjstatins	PC2	-0.0208192722017351	3.778907825138475	1.5006049471897354
Alanine_aminotransferase_adjstatins	PC3	0.00233248292838726	-1.5856804160025477	1.584498502433049
Alanine_aminotransferase_adjstatins	PC4	0.0301451248603417	1.2937519425286281	2.949223563853427
Alanine_aminotransferase_adjstatins	PC5	0.0175253552999834	-0.7999853842413541	6.639776246220494
Alanine_aminotransferase_adjstatins	PC6	-0.0230790600126306	-0.3494714957802348	1.6482418958902452
Alanine_aminotransferase_adjstatins	PC7	0.0238422821911031	0.2962342336793043	1.8736885850969363
Alanine_aminotransferase_adjstatins	PC8	-0.0109192740314397	-0.4503749148644625	1.9830012218794115
Alanine_aminotransferase_adjstatins	PC9	0.0081557032692912	-0.003221142665402397	4.694612712625044
Alanine_aminotransferase_adjstatins	PC10	0.00268451196177347	0.14825756212978866	2.2872580589950124
Alanine_aminotransferase_adjstatins	PC11	-0.000725008554984716	-0.07288650557761812	3.596192695063416
Alanine_aminotransferase_adjstatins	PC12	-0.0229488224348764	0.1850100567476533	2.365550285552095
Alanine_aminotransferase_adjstatins	PC13	0.00962266734374003	0.023135050571659082	1.646955932977731
Alanine_aminotransferase_adjstatins	PC14	-0.00479286520046094	0.18210377803795186	3.2904313136962533
Alanine_aminotransferase_adjstatins	PC15	0.00700956110679578	0.002270099027725953	1.932313938719294
Alanine_aminotransferase_adjstatins	PC16	0.0156631483088826	0.0045285803474112854	3.20635427771286
Alanine_aminotransferase_adjstatins	PC17	0.00404280665564436	0.003204836873119684	2.019298178613705
Alanine_aminotransferase_adjstatins	PC18	0.0246634871553949	-0.013795239322612394	2.984009839530114
Alanine_aminotransferase_adjstatins	PC19	0.00854478618011491	0.0012833841965365282	2.9247038888986654
Alanine_aminotransferase_adjstatins	PC20	0.0238155599331989	0.004006373332205153	2.909438748097083
Alanine_aminotransferase_adjstatins	PC21	0.0057437378297817395	-0.008928774984287777	2.8415992938769574
Alanine_aminotransferase_adjstatins	PC22	-0.000734954834729537	0.010264740587551526	2.905670570898046
Alanine_aminotransferase_adjstatins	PC23	-0.0323930150113599	0.016579692723176394	2.895865888500875
Alanine_aminotransferase_adjstatins	PC24	-0.004697552607719539	0.011889820119262562	2.6526608256419237
Alanine_aminotransferase_adjstatins	PC25	0.0260019642197437	-0.012864174999435683	2.790976797326459
Alanine_aminotransferase_adjstatins	PC26	0.0060266554741517	-0.0074754602814101085	2.796910615374609
Alanine_aminotransferase_adjstatins	PC27	0.0189818704245486	-0.0012373746181918457	2.8176610656687058
Alanine_aminotransferase_adjstatins	PC28	-0.0142843313540984	-0.007244362183604707	2.80507986899312
Alanine_aminotransferase_adjstatins	PC29	0.00610035130454311	-0.00932971694481153	2.8157583928278767
Alanine_aminotransferase_adjstatins	PC30	-0.0119167487486532	0.012205483533289771	2.8307265550747656
Alanine_aminotransferase_adjstatins	PC31	0.019621354708404	-0.011270760024941585	2.8108371693544534
Alanine_aminotransferase_adjstatins	PC32	-0.00117378176166047	-0.004924423046646557	2.768715410364785
Alanine_aminotransferase_adjstatins	PC33	-0.00616728792234724	0.0059355755252505134	2.8261775465928882
Alanine_aminotransferase_adjstatins	PC34	0.0145615661420391	-0.011557012792578581	2.8306456545222978
Alanine_aminotransferase_adjstatins	PC35	0.0176613116299872	-0.010038926354947702	2.8142168849616542
Alanine_aminotransferase_adjstatins	PC36	0.007076170593218759	-0.00015008550540272368	2.835125831052453
Alanine_aminotransferase_adjstatins	PC37	-0.0033830895321042198	-0.005977106689821133	2.8353181608333005
Alanine_aminotransferase_adjstatins	PC38	-0.0028712999433934	-0.005200051134802755	2.840115058702183
Alanine_aminotransferase_adjstatins	PC39	-0.0100091919173101	-0.005136993232535872	2.8421061443684925
Alanine_aminotransferase_adjstatins	PC40	0.00921792980830359	-0.007478191510778265	2.8471688758050457
Alanine_aminotransferase_adjstatins	UrineSampleMinutes	0.00028811693435195	860.2286735838503	181.82833911835107
Alanine_aminotransferase_adjstatins	TDI	0.4292900064981	-1.5785339219668495	2.9269162004909806
Alanine_aminotransferase_adjstatins	DrawTime	0.0016261515029771302	863.4718213624237	172.2394325910345
Alanine_aminotransferase_adjstatins	DilutionFactorTimeZero	-16.6680751850635	0.9969896396966197	0.01057744628479149
Alanine_aminotransferase_adjstatins	FastingTime	0.592714698932568	3.7536628839951702	2.35808349867302
Alanine_aminotransferase_adjstatins	f.53.0.0_2006	0.0	0.0	0.0
Alanine_aminotransferase_adjstatins	f.53.0.0_2007.04	-2.3936768298106603	0.000946103465038602	0.030744240977328488
Alanine_aminotransferase_adjstatins	f.53.0.0_2007.05	-1.8103619902704098	0.006575680436566637	0.08082351677180839
Alanine_aminotransferase_adjstatins	f.53.0.0_2007.06	-0.884946401104252	0.007364971172593317	0.08550279745259909
Alanine_aminotransferase_adjstatins	f.53.0.0_2007.07	-0.701841916850575	0.009340811558143546	0.0961954302323078
Alanine_aminotransferase_adjstatins	f.53.0.0_2007.08	0.36027136817564703	0.013397034148585289	0.11496761989624263
Alanine_aminotransferase_adjstatins	f.53.0.0_2007.09	0.40683360676117597	0.01237775141000779	0.11056465384579214
