#GBE_ID	run_name	max_valid_idx	largest_mem
BIN100020	BIN.1-400	0	120000
BIN10030800	BIN.1-400	22	480000
BIN100390	BIN.1-400	0	120000
BIN100460	BIN.1-400	0	120000
BIN100510	BIN.1-400	1	120000
BIN100760	BIN.1-400	1	120000
BIN100890	BIN.1-400	0	120000
BIN100940	BIN.1-400	0	120000
BIN101300	BIN.1-400	0	480000
BIN102130	BIN.1-400	0	120000
BIN102400	BIN.1-400	0	120000
BIN102520	BIN.1-400	0	120000
BIN102700	BIN.1-400	0	120000
BIN103000	BIN.1-400	0	120000
BIN103140	BIN.1-400	0	120000
BIN103990	BIN.1-400	0	120000
BIN104040	BIN.1-400	0	960000
BIN1210	BIN.1-400	26	480000
BIN1518	BIN.1-400	0	120000
BIN1618	BIN.1-400	0	120000
BIN1677	BIN.1-400	1	120000
BIN19	BIN.1-400	0	120000
BIN1920	BIN.1-400	0	120000
BIN1930	BIN.1-400	0	120000
BIN1940	BIN.1-400	1	120000
BIN1950	BIN.1-400	35	480000
BIN1960	BIN.1-400	0	120000
BIN1970	BIN.1-400	0	120000
BIN1980	BIN.1-400	35	480000
BIN1990	BIN.1-400	0	120000
BIN2000	BIN.1-400	22	120000
BIN20123	BIN.1-400	0	960000
BIN20124	BIN.1-400	0	960000
BIN20125	BIN.1-400	0	960000
BIN2030	BIN.1-400	0	120000
BIN2040	BIN.1-400	30	480000
BIN20401	BIN.1-400	0	120000
BIN20421	BIN.1-400	0	120000
BIN20422	BIN.1-400	1	120000
BIN20425	BIN.1-400	0	120000
BIN20426	BIN.1-400	1	120000
BIN20441	BIN.1-400	0	120000
BIN20446	BIN.1-400	0	120000
BIN20449	BIN.1-400	1	120000
BIN20463	BIN.1-400	0	120000
BIN20468	BIN.1-400	0	120000
BIN20471	BIN.1-400	1	120000
BIN20474	BIN.1-400	1	120000
BIN20480	BIN.1-400	0	120000
BIN20499	BIN.1-400	1	120000
BIN20501	BIN.1-400	0	120000
BIN20535	BIN.1-400	1	120000
BIN21062	BIN.1-400	0	120000
BIN21063	BIN.1-400	0	120000
BIN21064	BIN.1-400	0	120000
BIN21065	BIN.1-400	0	120000
BIN21066	BIN.1-400	0	120000
BIN21067	BIN.1-400	0	120000
BIN2188	BIN.1-400	36	480000
BIN2207	BIN.1-400	0	120000
BIN22129	BIN.1-400	0	120000
BIN22130	BIN.1-400	0	120000
BIN22137	BIN.1-400	1	120000
BIN22140	BIN.1-400	0	120000
BIN2257	BIN.1-400	34	480000
BIN2316	BIN.1-400	39	240000
BIN2473	BIN.1-400	1	120000
BIN3081	BIN.1-400	0	120000
BIN3414	BIN.1-400	1	120000
BIN3571	BIN.1-400	0	120000
BIN3591	BIN.1-400	0	120000
BIN4092	BIN.1-400	0	120000
BIN4095	BIN.1-400	0	120000
BIN4096	BIN.1-400	0	120000
BIN4243	BIN.1-400	0	120000
BIN4598	BIN.1-400	0	120000
BIN4631	BIN.1-400	0	120000
BIN4642	BIN.1-400	0	120000
BIN4653	BIN.1-400	0	120000
BIN4728	BIN.1-400	0	120000
BIN4792	BIN.1-400	0	120000
BIN5496	BIN.1-400	1	120000
BIN6014	BIN.1-400	1	120000
BIN_FC10000120	BIN.1-400	0	120000
BIN_FC10001249	BIN.1-400	0	120000
BIN_FC10001259	BIN.1-400	0	120000
BIN_FC10001418	BIN.1-400	1	120000
BIN_FC10001428	BIN.1-400	1	120000
BIN_FC10001448	BIN.1-400	0	120000
BIN_FC10001468	BIN.1-400	1	120000
BIN_FC10001677	BIN.1-400	1	120000
BIN_FC10001727	BIN.1-400	68	480000
BIN_FC10001757	BIN.1-400	41	240000
BIN_FC10001777	BIN.1-400	0	120000
BIN_FC10001787	BIN.1-400	0	120000
BIN_FC10001920	BIN.1-400	0	120000
BIN_FC10001930	BIN.1-400	0	120000
BIN_FC10001940	BIN.1-400	1	120000
BIN_FC10001950	BIN.1-400	35	480000
BIN_FC10001960	BIN.1-400	0	120000
BIN_FC10001970	BIN.1-400	0	120000
BIN_FC10001980	BIN.1-400	35	480000
BIN_FC10001990	BIN.1-400	0	120000
BIN_FC10002000	BIN.1-400	22	120000
BIN_FC10002030	BIN.1-400	0	120000
BIN_FC10002040	BIN.1-400	30	480000
BIN_FC10002159	BIN.1-400	1	120000
BIN_FC10002188	BIN.1-400	35	480000
BIN_FC10002207	BIN.1-400	0	120000
BIN_FC10002227	BIN.1-400	1	120000
BIN_FC10002257	BIN.1-400	33	480000
BIN_FC10002316	BIN.1-400	44	480000
BIN_FC10002345	BIN.1-400	0	120000
BIN_FC10002473	BIN.1-400	1	120000
BIN_FC10002654	BIN.1-400	0	120000
BIN_FC10002674	BIN.1-400	0	120000
BIN_FC10002694	BIN.1-400	0	120000
BIN_FC10002784	BIN.1-400	0	120000
BIN_FC10002844	BIN.1-400	0	120000
BIN_FC10002877	BIN.1-400	9	120000
BIN_FC10003414	BIN.1-400	1	120000
BIN_FC10003571	BIN.1-400	0	120000
BIN_FC10003591	BIN.1-400	0	120000
BIN_FC10003720	BIN.1-400	9	120000
BIN_FC10003912	BIN.1-400	1	120000
BIN_FC10004501	BIN.1-400	0	120000
BIN_FC10004598	BIN.1-400	0	120000
BIN_FC10004631	BIN.1-400	0	120000
BIN_FC10004642	BIN.1-400	0	120000
BIN_FC10004653	BIN.1-400	0	120000
BIN_FC10004717	BIN.1-400	1	120000
BIN_FC10004728	BIN.1-400	0	120000
BIN_FC10004792	BIN.1-400	0	120000
BIN_FC1001747	BIN.1-400	73	480000
BIN_FC1002159	BIN.1-400	1	120000
BIN_FC1004803	BIN.1-400	0	120000
BIN_FC1005155	BIN.1-400	1	120000
BIN_FC1006155	BIN.1-400	0	120000
BIN_FC2006144	BIN.1-400	1	120000
BIN_FC2006149	BIN.1-400	0	120000
BIN_FC3006148	BIN.1-400	1	120000
BIN_FC3006149	BIN.1-400	0	120000
BIN_FC3006150	BIN.1-400	0	120000
BIN_FC4001747	BIN.1-400	84	480000
BIN_FC4006150	BIN.1-400	45	480000
BIN_FC4006155	BIN.1-400	0	120000
BIN_FC5006152	BIN.1-400	56	480000
BIN_FC5006153	BIN.1-400	0	120000
BIN_FC5006155	BIN.1-400	1	120000
BIN_FC6006149	BIN.1-400	38	480000
BIN_FC6006179	BIN.1-400	0	120000
BIN_FC7001747	BIN.1-400	81	480000
BIN_FC7006179	BIN.1-400	0	120000
BIN_FC9006152	BIN.1-400	53	480000
BIN_FC9006153	BIN.1-400	1	120000
BIN_FC10004836	BIN.401-737	0	120000
BIN_FC10005496	BIN.401-737	1	120000
BIN_FC10005540	BIN.401-737	1	120000
BIN_FC10005610	BIN.401-737	1	120000
BIN_FC10006152	BIN.401-737	56	480000
BIN_FC10006154	BIN.401-737	1	120000
BIN_FC10006160	BIN.401-737	28	480000
BIN_FC10006164	BIN.401-737	0	120000
BIN_FC10020116	BIN.401-737	38	480000
BIN_FC10020117	BIN.401-737	0	120000
BIN_FC10020122	BIN.401-737	0	480000
BIN_FC10020126	BIN.401-737	1	120000
BIN_FC10020173	BIN.401-737	5	120000
BIN_FC10020458	BIN.401-737	0	120000
BIN_FC10020459	BIN.401-737	0	120000
BIN_FC10020489	BIN.401-737	0	120000
BIN_FC10020491	BIN.401-737	0	120000
