#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name	N
cancer1032	snpnet_PRS	bin	Genotype_only	5.000000e-01	brain_cancer_/_primary_malignant_brain_tumour	555
cancer1034	snpnet_PRS	bin	Covariates_only	6.876275e-01	kidney/renal_cell_cancer	1093
cancer1034	snpnet_PRS	bin	Genotype_and_covariates	6.853677e-01	kidney/renal_cell_cancer	1093
cancer1034	snpnet_PRS	bin	Genotype_only	5.055564e-01	kidney/renal_cell_cancer	1093
cancer1035	snpnet_PRS	bin	Covariates_only	7.905972e-01	bladder_cancer	1997
cancer1035	snpnet_PRS	bin	Genotype_and_covariates	7.907293e-01	bladder_cancer	1997
cancer1035	snpnet_PRS	bin	Genotype_only	5.247282e-01	bladder_cancer	1997
cancer1037	snpnet_PRS	bin	Covariates_only	7.566946e-01	female_genital_tract_cancer	4947
cancer1037	snpnet_PRS	bin	Genotype_and_covariates	7.548820e-01	female_genital_tract_cancer	4947
cancer1037	snpnet_PRS	bin	Genotype_only	5.110647e-01	female_genital_tract_cancer	4947
cancer1038	snpnet_PRS	bin	Covariates_only	8.505162e-01	male_genital_tract_cancer	3449
cancer1038	snpnet_PRS	bin	Genotype_and_covariates	8.581265e-01	male_genital_tract_cancer	3449
cancer1038	snpnet_PRS	bin	Genotype_only	5.897118e-01	male_genital_tract_cancer	3449
cancer1039	snpnet_PRS	bin	Covariates_only	7.846115e-01	ovarian_cancer	1208
cancer1039	snpnet_PRS	bin	Genotype_and_covariates	7.822347e-01	ovarian_cancer	1208
cancer1039	snpnet_PRS	bin	Genotype_only	5.197532e-01	ovarian_cancer	1208
cancer1040	snpnet_PRS	bin	Covariates_only	8.060713e-01	uterine/endometrial_cancer	1610
cancer1040	snpnet_PRS	bin	Genotype_and_covariates	8.078349e-01	uterine/endometrial_cancer	1610
cancer1040	snpnet_PRS	bin	Genotype_only	5.478750e-01	uterine/endometrial_cancer	1610
cancer1041	snpnet_PRS	bin	Covariates_only	7.595289e-01	cervical_cancer	2815
cancer1041	snpnet_PRS	bin	Genotype_and_covariates	7.623187e-01	cervical_cancer	2815
cancer1041	snpnet_PRS	bin	Genotype_only	5.241428e-01	cervical_cancer	2815
cancer1043	snpnet_PRS	bin	Covariates_only	6.773481e-01	vulval_cancer	131
cancer1043	snpnet_PRS	bin	Genotype_and_covariates	6.773481e-01	vulval_cancer	131
cancer1043	snpnet_PRS	bin	Genotype_only	5.000000e-01	vulval_cancer	131
cancer1044	snpnet_PRS	bin	Covariates_only	8.800511e-01	prostate_cancer	6460
cancer1044	snpnet_PRS	bin	Genotype_and_covariates	8.975619e-01	prostate_cancer	6460
cancer1044	snpnet_PRS	bin	Genotype_only	6.417883e-01	prostate_cancer	6460
cancer1045	snpnet_PRS	bin	Covariates_only	8.175634e-01	testicular_cancer	678
cancer1045	snpnet_PRS	bin	Genotype_and_covariates	8.381030e-01	testicular_cancer	678
cancer1045	snpnet_PRS	bin	Genotype_only	6.006836e-01	testicular_cancer	678
cancer1047	snpnet_PRS	bin	Covariates_only	5.831537e-01	lymphoma	1852
cancer1047	snpnet_PRS	bin	Genotype_and_covariates	5.842057e-01	lymphoma	1852
cancer1047	snpnet_PRS	bin	Genotype_only	5.134216e-01	lymphoma	1852
cancer1048	snpnet_PRS	bin	Covariates_only	6.613264e-01	leukaemia	870
cancer1048	snpnet_PRS	bin	Genotype_and_covariates	6.625204e-01	leukaemia	870
