Polygenic Score (PGS) ID	PGS Name	Reported Trait	Mapped Trait(s) (EFO label)	Mapped Trait(s) (EFO ID)	PGS Development Method	PGS Development Details/Relevant Parameters	Original Genome Build	Number of Variants	Number of Interaction Terms	PGS Publication (PGP) ID	Publication (PMID)	Publication (doi)	Score and results match the original publication	Ancestry Distribution (%) - Source of Variant Associations (GWAS)	Ancestry Distribution (%) - Score Development/Training	Ancestry Distribution (%) - PGS Evaluation	FTP link	License/Terms of Use
PGS001210	GBE_INI30610	Alkaline phosphatase	alkaline phosphatase measurement	EFO_0004533	snpnet	NA	GRCh37	11319	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001210/ScoringFiles/PGS001210.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001211	GBE_INI10030610	Alkaline phosphatase	alkaline phosphatase measurement	EFO_0004533	snpnet	NA	GRCh37	16603	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001211/ScoringFiles/PGS001211.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001212	GBE_INI10030730	Gamma-glutamyl transferase	serum gamma-glutamyl transferase measurement	EFO_0004532	snpnet	NA	GRCh37	16280	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001212/ScoringFiles/PGS001212.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001213	GBE_INI30730	Gamma-glutamyl transferase	serum gamma-glutamyl transferase measurement	EFO_0004532	snpnet	NA	GRCh37	5701	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001213/ScoringFiles/PGS001213.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001214	GBE_INI30880	Urate	urate measurement	EFO_0004531	snpnet	NA	GRCh37	18135	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001214/ScoringFiles/PGS001214.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001215	GBE_INI10030880	Urate	urate measurement	EFO_0004531	snpnet	NA	GRCh37	17598	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001215/ScoringFiles/PGS001215.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001216	GBE_INI30870	Triglycerides	triglyceride measurement	EFO_0004530	snpnet	NA	GRCh37	12058	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001216/ScoringFiles/PGS001216.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001217	GBE_INI10030870	Triglycerides	triglyceride measurement	EFO_0004530	snpnet	NA	GRCh37	13593	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001217/ScoringFiles/PGS001217.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001221	GBE_INI30700	Creatinine	creatinine measurement	EFO_0004518	snpnet	NA	GRCh37	11780	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001221/ScoringFiles/PGS001221.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001222	GBE_INI10030700	Creatinine	creatinine measurement	EFO_0004518	snpnet	NA	GRCh37	20452	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001222/ScoringFiles/PGS001222.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001223	GBE_INI30740	Glucose	glucose measurement	EFO_0004468	snpnet	NA	GRCh37	2223	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001223/ScoringFiles/PGS001223.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001224	GBE_INI30710	C-reactive protein	C-reactive protein measurement	EFO_0004458	snpnet	NA	GRCh37	4441	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001224/ScoringFiles/PGS001224.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
