#GBE_ID	PTVs	PAVs	Others	PTVs_novel	PAVs_novel	Others_novel
HC432	4	1	2	4	1	2
HC433	2	1	1	2	1	1
HC434	0	5	1	0	4	1
HC435	19	26	38	19	26	38
HC436	8	0	4	8	0	4
HC437	0	0	0	0	0	0
HC438	6	3	1	6	3	1
HC440	83	480	2137	83	471	2075
HC441	3	0	0	3	0	0
HC442	45	191	529	45	190	524
HC443	2	1	0	2	1	0
HC444	15	43	53	15	43	53
HC445	8	8	2	8	7	2
