id,name
PGS000947,GBE_BIN_FC1006149
PGS000950,GBE_HC1171
PGS000953,GBE_INI4101
PGS000956,GBE_INI4123
PGS000959,GBE_HC136
PGS000960,GBE_HC1236
PGS000966,GBE_HC26
PGS000968,GBE_INI3077
PGS000978,GBE_INI1438
PGS000981,GBE_BIN_FC30002267
PGS000984,GBE_INI2237
PGS000987,GBE_INI30260
PGS000990,GBE_HC878
PGS000993,GBE_QT_FC1001329
PGS000994,GBE_INI1488
PGS000995,GBE_BIN_FC6006149
PGS001001,GBE_QT_FC1001170
PGS001010,GBE_INI1003064
PGS001012,GBE_QT_FC1002296
PGS001013,GBE_BIN_FC5006148
PGS001016,GBE_BIN1950
PGS001023,GBE_HC703
PGS001026,GBE_HC83
PGS001028,GBE_BIN_FC1006148
PGS001031,GBE_HC1261
PGS001034,GBE_QT_FC10001478
PGS001046,GBE_BIN_FC40001249
PGS001047,GBE_BIN_FC20001249
PGS001050,GBE_HC1098
PGS001053,GBE_INI1060
PGS001055,GBE_QT_FC1001180
PGS001058,GBE_BIN_FC20001468
PGS001061,GBE_INI1289
PGS001064,GBE_BIN_FC30001418
PGS001065,GBE_BIN_FC3006144
PGS001074,GBE_BIN_FC30006164
PGS001079,GBE_INI30110
PGS001086,GBE_BIN100580
PGS001089,GBE_INI1578
PGS001092,GBE_BIN_FC5001747
PGS001095,GBE_BIN_FC4001747
PGS001098,GBE_BIN_FC2001747
PGS001099,GBE_INI5085
PGS001106,GBE_INI23119
PGS001109,GBE_HC1021
PGS001111,GBE_cancer1038
PGS001117,GBE_BIN_FC10002986
PGS001120,GBE_INI47
PGS001123,GBE_BIN100240
PGS001125,GBE_BIN_FC20001508
PGS001128,GBE_BIN_FC20020116
PGS001135,GBE_HC78
PGS001136,GBE_HC413
PGS001138,GBE_BIN10030820
PGS001141,GBE_BIN_FC10001757
PGS001144,GBE_INI23124
PGS001150,GBE_INI1160
PGS001153,GBE_BIN_FC18006155
PGS001155,GBE_INI23108
PGS001157,GBE_INI23107
PGS001160,GBE_INI23130
PGS001169,GBE_INI23101
PGS001172,GBE_INI30150
PGS001181,GBE_HC643
PGS001220,GBE_INI30040
PGS001370,GBE_INI3786
PGS001230,GBE_INI21002
PGS001232,GBE_INI20016
PGS001241,GBE_INI3143
PGS001247,GBE_BIN_FC40001727
PGS001250,GBE_HC1304
PGS001253,GBE_BIN_FC1002247
PGS001256,GBE_HC188
PGS001259,GBE_HC49
PGS001263,GBE_HC440
PGS001388,GBE_QT_FC10003476
PGS001269,GBE_BIN_FC10001150
PGS001278,GBE_BIN_FC12006152
PGS001281,GBE_HC86
PGS001283,GBE_INI3761
PGS001286,GBE_BIN22126
PGS001289,GBE_cancer1065
PGS001292,GBE_FH1044
PGS001295,GBE_HC165
PGS001296,GBE_HC648
PGS001299,GBE_cancer1041
PGS001311,GBE_HC1211
PGS001314,GBE_HC938
PGS001317,GBE_BIN_FC1006150
PGS001320,GBE_HC215
PGS001323,GBE_HC882
PGS001325,GBE_BIN_FC10001835
PGS001328,GBE_FH1220
PGS001331,GBE_HC322
PGS001332,GBE_HC442
PGS001334,GBE_HC1035
PGS001156,GBE_INI23109
PGS001174,GBE_HC1125
PGS001192,GBE_HC1222
PGS001340,GBE_HC281
PGS001343,GBE_HC1581
PGS001346,GBE_HC1036
PGS001349,GBE_HC807
PGS001371,GBE_INI2976
PGS000972,GBE_BIN10030500
PGS001004,GBE_INI135
PGS001037,GBE_INI78
PGS001067,GBE_QT_FC1001349
PGS001100,GBE_INI5084
PGS001131,GBE_HC530
PGS001228,GBE_INI21001
PGS001246,GBE_BIN_FC10001727
PGS001298,GBE_HC689
PGS001235,GBE_INI23122
PGS001272,GBE_HC1302
PGS001305,GBE_HC608
PGS001337,GBE_FH1002
PGS000922,GBE_HC170
PGS000924,GBE_HC702
PGS000927,GBE_HC1158
PGS001006,GBE_BIN_FC1002306
PGS001030,GBE_HC84
PGS001040,GBE_cancer1060
PGS001048,GBE_HC1576
PGS001066,GBE_QT_FC1001359
PGS001070,GBE_INI25003
PGS001082,GBE_INI23028
PGS001101,GBE_INI23099
PGS001103,GBE_INI23115
PGS001118,GBE_BIN_FC10002492
PGS001134,GBE_INI4080
PGS001154,GBE_INI23110
PGS001163,GBE_INI30130
PGS001166,GBE_INI23117
PGS001173,GBE_INI30140
PGS001226,GBE_INI20022
PGS001238,GBE_INI30080
PGS001262,GBE_BIN_FC2006150
PGS001275,GBE_HC880
PGS001279,GBE_BIN_FC8006152
PGS001297,GBE_HC337
PGS001389,GBE_INI1319
PGS001315,GBE_HC326
PGS001358,GBE_INI5116
PGS001359,GBE_INI5135
PGS001360,GBE_INI5132
PGS001361,GBE_INI5104
PGS001363,GBE_INI5099
PGS001365,GBE_INI5134
PGS001366,GBE_INI5133
PGS001368,GBE_INI5098
PGS001369,GBE_HC1090
PGS001391,GBE_INI20453
PGS001396,GBE_QT_FC1002060
PGS001397,GBE_INI971
PGS001399,GBE_INI23002
PGS001400,GBE_INI30020
PGS001402,GBE_INI3148
PGS001403,GBE_INI4105
PGS001405,GBE_INI12144
PGS001407,GBE_INI23022
PGS001408,GBE_INI30280
PGS001409,GBE_INI5262
PGS001419,GBE_INI25091
PGS001420,GBE_INI25090
PGS001422,GBE_INI25092
PGS001423,GBE_INI25062
PGS001425,GBE_INI25094
PGS001426,GBE_INI25061
PGS001428,GBE_INI25066
PGS001429,GBE_INI25056
PGS001431,GBE_INI25074
PGS001432,GBE_INI25085
PGS001434,GBE_INI25077
PGS001437,GBE_INI25086
PGS001438,GBE_INI25060
PGS001440,GBE_INI25068
PGS001441,GBE_INI25081
PGS001443,GBE_INI25099
PGS001444,GBE_INI25098
PGS001446,GBE_INI25096
