#population	split	n	age0_mean	age0_sd	sex_M	Array_UKBB
white_british	train	235991	57.4408849582899	7.99699115662121	0.463373603230632	0.890533961040887
white_british	test	67425	57.5011176091142	7.99755107548647	0.459354838709677	0.887979236188357
white_british	val	33713	57.507985903572	7.9422936569092	0.468128021831341	0.89176282146353
non_british_white	non_british_white	24905	55.8645801992778	8.32206341470569	0.42481429431841	0.899658703071672
s_asian	s_asian	7831	54.0780631246031	8.51420725985232	0.547822755714468	1
african	african	6497	52.529285803142	8.07664858080055	0.428967215637987	1
e_asian	e_asian	1704	52.7221525500032	7.61962918599626	0.353286384976526	1
Total	N/A	378066	57.1784436203029	8.07722038617179	0.461202541355213	0.895430956499659
